,Dataset,Algorithm,ARI,NMI,NCA,Silhouette,Silhouette_W,Calinski_Harabasz,G_Dunn,Neg_Davies_Bouldin,Neg_WCSS,Battery,median_internal,median_reference
153,s3,Agg_complete,0.5092503854015455,0.7069098003205146,0.5692034921041652,0.3143119082312893,0.325428038601155,4519.093064854155,0.023653188070398776,-0.9450384412547194,-729.7647383962438,sipu,0.16898254815084404,0.5692034921041652
154,s3,Agg_ward,0.677113293406452,0.7705261477748915,0.8052543818800932,0.453217950214634,0.45514157692169266,6891.117340476346,0.1257048738716389,-0.6948700980605157,-490.9107868665101,sipu,0.28946141204313647,0.7705261477748915
155,s3,SC,0.5143836777336607,0.7184712870157401,0.6662346656321939,0.3614963672581104,0.400393093467672,4295.384253047917,0.035446925756377375,-0.8556284948533309,-764.8623107905867,sipu,0.1984716465072439,0.6662346656321939
156,s4,K-means,0.5930911826865699,0.7071973651383254,0.7198092072784262,0.4690014709408634,0.4515815700622168,5750.5211545146685,0.023710152319014844,-0.7113548189562423,-582.8607638494002,sipu,0.23764586119061581,0.7071973651383254
157,s4,GMM,0.619866417306509,0.7255303531181234,0.7418215551621047,0.4420855268395559,0.4377811796859369,5200.557749790174,0.013428607051133704,-0.7368303604094905,-640.548991707976,sipu,0.2256048933685353,0.7255303531181234
158,s4,Genie_g0.1,0.6188039572125948,0.7164465817967947,0.7700154227009388,0.42223559801339416,0.4218868716729431,5021.161671649942,0.17844744530756124,-0.7427792337610902,-661.9190857372566,sipu,0.30016715849025216,0.7164465817967947
159,s4,Genie_g0.3,0.5909110697404406,0.7071382777768983,0.7322614659688451,0.37252047677664407,0.4068295870846822,4190.572472149382,0.1458135750501904,-0.8150257686217363,-782.8396714619249,sipu,0.2591670259134172,0.7071382777768983
160,s4,Genie_g0.5,0.46614184277682175,0.666368891824542,0.5378247940798218,0.21676340012114,0.3725796749116638,2404.567440174524,0.1369711581457118,-0.8845956466093343,-1289.3005520535507,sipu,0.17686727913342593,0.5378247940798218
161,s4,Genie_g0.7,0.20593011795179592,0.5767724702894237,0.3802432709602307,-0.02898246179449274,0.4139830253911945,860.4170512618126,0.09623747262604047,-0.8404225305786335,-2925.8749889539067,sipu,0.03362750541577387,0.3802432709602307
162,s4,Genie_g0.9,0.033305447269636475,0.26999379241493326,0.13020331521717635,-0.3042437382330595,0.4592064036288882,132.8494923980159,0.09011174770018734,-0.9162888199140552,-7279.895510376602,sipu,-0.10706599526643608,0.13020331521717635
163,s4,Agg_single,4.648363862490203e-05,0.008791551790729917,0.001991341362930031,-0.136627682427572,0.4153140347446538,5.465419565771181,0.25153168025405576,-inf,-9844.89751413643,sipu,0.057451998913241875,0.001991341362930031
164,s4,Agg_average,0.4925658173885549,0.6673593362136331,0.5887826482471793,0.3789493997637795,0.4586553717409238,3209.461987103009,0.09773802600553667,-inf,-998.2498556450602,sipu,0.23834371288465808,0.5887826482471793
165,s4,Agg_complete,0.4171187139155943,0.6195501731605024,0.4991043742610331,0.27152534534323736,0.321144017988113,3210.4276889423045,0.0364157820441085,-0.9768834358159846,-997.9795592872282,sipu,0.15397056369367293,0.4991043742610331
166,s4,Agg_ward,0.5532287863689617,0.6942078032277865,0.6828052064136398,0.410852236390598,0.4090513774544761,4765.307380093029,0.07486171212350388,-0.8177758105227252,-694.9872974584417,sipu,0.24195654478899,0.6828052064136398
167,s4,SC,0.5157895909516863,0.6898530506355814,0.6410186809318874,0.3904136736609781,0.46277050825636823,3678.288598457717,0.04124097186746294,-0.7491370554889376,-882.2448154473869,sipu,0.21582732276422054,0.6410186809318874
168,spiral,K-means,-0.0059621280246944025,0.0004200321266529102,0.009421952976968906,0.36036532222610734,0.36094742757401305,238.26489078785218,0.03510389102209486,-0.8858038287691086,-239.96422343607705,sipu,0.1977346066241011,0.0004200321266529102
169,spiral,GMM,-0.004503582626486018,0.001617325196672709,0.023555104836629148,0.3624968928980021,0.36499074777046686,237.06627368832577,0.05483722271954107,-0.8899843198186791,-240.69877398553004,sipu,0.20866705780877157,0.001617325196672709
170,spiral,Genie_g0.1,1.0,1.0,1.0,0.0013442831316276837,0.0012178200360069406,5.797855193004801,0.5843599420358311,-5.882022466862151,-587.9649599639525,sipu,0.0012810515838173123,1.0
171,spiral,Genie_g0.3,1.0,1.0,1.0,0.0013442831316276837,0.0012178200360069406,5.797855193004801,0.5843599420358311,-5.882022466862151,-587.9649599639525,sipu,0.0012810515838173123,1.0
172,spiral,Genie_g0.5,1.0,1.0,1.0,0.0013442831316276837,0.0012178200360069406,5.797855193004801,0.5843599420358311,-5.882022466862151,-587.9649599639525,sipu,0.0012810515838173123,1.0
173,spiral,Genie_g0.7,1.0,1.0,1.0,0.0013442831316276837,0.0012178200360069406,5.797855193004801,0.5843599420358311,-5.882022466862151,-587.9649599639525,sipu,0.0012810515838173123,1.0
174,spiral,Genie_g0.9,1.0,1.0,1.0,0.0013442831316276837,0.0012178200360069406,5.797855193004801,0.5843599420358311,-5.882022466862151,-587.9649599639525,sipu,0.0012810515838173123,1.0
175,spiral,Agg_single,1.0,1.0,1.0,0.0013442831316276837,0.0012178200360069406,5.797855193004803,0.5843599420358311,-5.882022466862151,-587.9649599639525,sipu,0.0012810515838173123,1.0
176,spiral,Agg_average,-0.002258128166183025,0.0031317749223243032,0.03630274078620799,0.3185240599024028,0.3677029479807579,187.0236064244691,0.08615920597822745,-0.9060941157535103,-275.9678108274681,sipu,0.20234163294031512,0.0031317749223243032
177,spiral,Agg_complete,0.0668896757067418,0.07032502771198944,0.1980384830935924,0.28869598925735174,0.308734392278486,163.77849514104767,0.09847315494067788,-1.0829253546633868,-296.1228089541366,sipu,0.1935845720990148,0.07032502771198944
178,spiral,Agg_ward,0.0013408459750114165,0.006783706601395943,0.06416473183706517,0.34215460979394263,0.3481544942221888,208.02861916577697,0.10984206192963916,-0.933728288001067,-259.97815628388815,sipu,0.2259983358617909,0.006783706601395943
179,spiral,SC,-0.004250584633370878,0.001843787114867589,0.023788618754058688,0.3618276934254053,0.364591485312107,237.03853962844732,0.04901588072378942,-0.8919760384229732,-240.7158235311935,sipu,0.20542178707459735,0.001843787114867589
180,unbalance,K-means,1.0,1.0,1.0,0.8577568525947494,0.7893091287415726,221461.032724179,1.6353276081899426,-0.29015294743110576,-21.458712141835615,sipu,0.823532990668161,1.0
